"number","severity","package","ecosystem","manifest","relationship","scope","summary","cve","ghsa","opened","url"
156,"high","composer/composer","composer","composer.lock","unknown","development","Composer has a command injection via malicious perforce repository","CVE-2026-40176","GHSA-wg36-wvj6-r67p","2026-04-14T20:11:37Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/156"
155,"high","composer/composer","composer","composer.lock","unknown","development","Composer has a command injection via malicious perforce reference","CVE-2026-40261","GHSA-gqw4-4w2p-838q","2026-04-14T20:09:52Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/155"
152,"high","basic-ftp","npm","package-lock.json","transitive","development","basic-ftp: Incomplete CRLF Injection Protection Allows Arbitrary FTP Command Execution via Credentials and MKD Commands","","GHSA-6v7q-wjvx-w8wg","2026-04-10T20:21:36Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/152"
151,"medium","vite","npm","documentation/package-lock.json","transitive","development","Vite Vulnerable to Path Traversal in Optimized Deps `.map` Handling","CVE-2026-39365","GHSA-4w7w-66w2-5vf9","2026-04-06T20:29:36Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/151"
150,"high","vite","npm","documentation/package-lock.json","transitive","development","Vite Vulnerable to Arbitrary File Read via Vite Dev Server WebSocket","CVE-2026-39363","GHSA-p9ff-h696-f583","2026-04-06T20:29:17Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/150"
149,"high","vite","npm","documentation/package-lock.json","transitive","development","Vite: `server.fs.deny` bypassed with queries","CVE-2026-39364","GHSA-v2wj-q39q-566r","2026-04-06T19:45:12Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/149"
147,"high","lodash","npm","package-lock.json","direct","development","lodash vulnerable to Code Injection via `_.template` imports key names","CVE-2026-4800","GHSA-r5fr-rjxr-66jc","2026-04-04T21:44:15Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/147"
145,"medium","lodash","npm","package-lock.json","direct","development","lodash vulnerable to Prototype Pollution via array path bypass in `_.unset` and `_.omit`","CVE-2026-2950","GHSA-f23m-r3pf-42rh","2026-04-04T12:17:54Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/145"
144,"high","lodash-es","npm","package-lock.json","transitive","development","lodash vulnerable to Code Injection via `_.template` imports key names","CVE-2026-4800","GHSA-r5fr-rjxr-66jc","2026-04-02T01:57:15Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/144"
143,"medium","lodash-es","npm","package-lock.json","transitive","development","lodash vulnerable to Prototype Pollution via array path bypass in `_.unset` and `_.omit`","CVE-2026-2950","GHSA-f23m-r3pf-42rh","2026-04-02T01:57:15Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/143"
142,"high","path-to-regexp","npm","package-lock.json","transitive","runtime","path-to-regexp vulnerable to Regular Expression Denial of Service via multiple route parameters","CVE-2026-4867","GHSA-37ch-88jc-xwx2","2026-03-30T11:34:01Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/142"
141,"medium","picomatch","npm","documentation/package-lock.json","transitive","development","Picomatch: Method Injection in POSIX Character Classes causes incorrect Glob Matching","CVE-2026-33672","GHSA-3v7f-55p6-f55p","2026-03-26T07:14:24Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/141"
139,"medium","picomatch","npm","documentation/package-lock.json","transitive","development","Picomatch: Method Injection in POSIX Character Classes causes incorrect Glob Matching","CVE-2026-33672","GHSA-3v7f-55p6-f55p","2026-03-26T02:20:39Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/139"
138,"medium","picomatch","npm","package-lock.json","transitive","runtime","Picomatch: Method Injection in POSIX Character Classes causes incorrect Glob Matching","CVE-2026-33672","GHSA-3v7f-55p6-f55p","2026-03-26T02:20:38Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/138"
136,"high","picomatch","npm","package-lock.json","transitive","runtime","Picomatch has a ReDoS vulnerability via extglob quantifiers","CVE-2026-33671","GHSA-c2c7-rcm5-vvqj","2026-03-26T02:20:37Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/136"
134,"high","flatted","npm","package-lock.json","transitive","development","Prototype Pollution via parse() in NodeJS flatted","CVE-2026-33228","GHSA-rf6f-7fwh-wjgh","2026-03-21T10:43:13Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/134"
130,"medium","undici","npm","documentation/package-lock.json","transitive","development","Undici has CRLF Injection in undici via `upgrade` option","CVE-2026-1527","GHSA-4992-7rv2-5pvq","2026-03-13T23:42:39Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/130"
129,"medium","undici","npm","documentation/package-lock.json","transitive","development","Undici has an HTTP Request/Response Smuggling issue","CVE-2026-1525","GHSA-2mjp-6q6p-2qxm","2026-03-13T22:15:27Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/129"
